Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"55079019500","14000US55079019500","Census Tract 195, Milwaukee County, Wisconsin","Census Tract 195, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004885",,,,,"55","079",,,,"019500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601,3304,3210,20,20,54,0,0,0,297,244,0,0,0,0,38,15
"55079019600","14000US55079019600","Census Tract 196, Milwaukee County, Wisconsin","Census Tract 196, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004886",,,,,"55","079",,,,"019600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3699,3480,3206,211,0,63,0,0,0,219,147,61,0,0,0,11,0
"55079019700","14000US55079019700","Census Tract 197, Milwaukee County, Wisconsin","Census Tract 197, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004887",,,,,"55","079",,,,"019700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5333,4576,3861,156,2,247,0,0,310,757,586,0,0,0,0,104,67
"55079019800","14000US55079019800","Census Tract 198, Milwaukee County, Wisconsin","Census Tract 198, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004888",,,,,"55","079",,,,"019800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4868,4217,3922,122,0,56,0,0,117,651,432,0,0,0,0,90,129
"55079019900","14000US55079019900","Census Tract 199, Milwaukee County, Wisconsin","Census Tract 199, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004889",,,,,"55","079",,,,"019900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3942,3010,2663,131,72,86,0,0,58,932,811,33,0,0,0,88,0
"55079020000","14000US55079020000","Census Tract 200, Milwaukee County, Wisconsin","Census Tract 200, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004890",,,,,"55","079",,,,"020000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3484,2402,1623,397,7,252,0,0,123,1082,841,52,0,0,0,158,31
"55079020100","14000US55079020100","Census Tract 201, Milwaukee County, Wisconsin","Census Tract 201, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004891",,,,,"55","079",,,,"020100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3460,2025,1558,391,9,51,0,0,16,1435,1167,26,31,6,0,59,146
"55079020200","14000US55079020200","Census Tract 202, Milwaukee County, Wisconsin","Census Tract 202, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004892",,,,,"55","079",,,,"020200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,1929,1591,64,16,114,0,0,144,883,656,0,0,0,0,218,9
"55079020300","14000US55079020300","Census Tract 203, Milwaukee County, Wisconsin","Census Tract 203, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004893",,,,,"55","079",,,,"020300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220,2626,2220,160,14,208,0,9,15,1594,998,0,0,0,0,581,15
"55079020400","14000US55079020400","Census Tract 204, Milwaukee County, Wisconsin","Census Tract 204, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004894",,,,,"55","079",,,,"020400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530,1223,994,126,7,70,0,0,26,2307,2044,14,38,0,0,165,46
"55079020500","14000US55079020500","Census Tract 205, Milwaukee County, Wisconsin","Census Tract 205, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004895",,,,,"55","079",,,,"020500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3538,1373,1259,1,13,25,0,41,34,2165,1838,7,0,0,0,155,165
"55079020600","14000US55079020600","Census Tract 206, Milwaukee County, Wisconsin","Census Tract 206, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004896",,,,,"55","079",,,,"020600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3481,2828,2708,33,30,30,3,0,24,653,497,10,0,0,0,114,32
"55079020700","14000US55079020700","Census Tract 207, Milwaukee County, Wisconsin","Census Tract 207, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004897",,,,,"55","079",,,,"020700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310,3956,3703,15,43,89,0,0,106,354,216,0,0,0,0,138,0
"55079020800","14000US55079020800","Census Tract 208, Milwaukee County, Wisconsin","Census Tract 208, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004898",,,,,"55","079",,,,"020800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3017,2753,2516,92,1,61,0,0,83,264,129,0,18,0,14,103,0
"55079020900","14000US55079020900","Census Tract 209, Milwaukee County, Wisconsin","Census Tract 209, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004899",,,,,"55","079",,,,"020900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657,2258,2059,83,0,0,0,0,116,399,363,0,0,0,0,22,14
"55079021000","14000US55079021000","Census Tract 210, Milwaukee County, Wisconsin","Census Tract 210, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004900",,,,,"55","079",,,,"021000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424,2061,1887,36,0,109,0,0,29,363,310,11,0,0,0,20,22
"55079021100","14000US55079021100","Census Tract 211, Milwaukee County, Wisconsin","Census Tract 211, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004901",,,,,"55","079",,,,"021100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412,1075,1055,5,4,11,0,0,0,337,297,0,0,0,0,40,0
"55079021200","14000US55079021200","Census Tract 212, Milwaukee County, Wisconsin","Census Tract 212, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004902",,,,,"55","079",,,,"021200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1686,1613,15,17,36,0,0,5,209,164,16,0,0,0,29,0
"55079021300","14000US55079021300","Census Tract 213, Milwaukee County, Wisconsin","Census Tract 213, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004903",,,,,"55","079",,,,"021300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628,1272,1077,148,0,33,0,0,14,356,235,4,0,0,0,101,16
"55079021400","14000US55079021400","Census Tract 214, Milwaukee County, Wisconsin","Census Tract 214, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004904",,,,,"55","079",,,,"021400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3621,2537,1856,84,13,272,0,0,312,1084,980,13,0,0,0,64,27
"55079021500","14000US55079021500","Census Tract 215, Milwaukee County, Wisconsin","Census Tract 215, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004905",,,,,"55","079",,,,"021500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2661,2252,2065,13,14,47,0,0,113,409,257,0,0,0,0,116,36
"55079021600","14000US55079021600","Census Tract 216, Milwaukee County, Wisconsin","Census Tract 216, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004906",,,,,"55","079",,,,"021600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4327,3450,2605,384,10,296,0,0,155,877,718,33,0,0,0,0,126
"55079021700","14000US55079021700","Census Tract 217, Milwaukee County, Wisconsin","Census Tract 217, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004907",,,,,"55","079",,,,"021700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6501,4638,4196,72,0,324,0,0,46,1863,1163,392,0,0,0,249,59
"55079021800","14000US55079021800","Census Tract 218, Milwaukee County, Wisconsin","Census Tract 218, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004908",,,,,"55","079",,,,"021800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2258,1885,1747,78,0,34,0,0,26,373,201,0,5,0,0,58,109
"55079030100","14000US55079030100","Census Tract 301, Milwaukee County, Wisconsin","Census Tract 301, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004909",,,,,"55","079",,,,"030100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4345,4277,3928,135,47,128,4,0,35,68,57,11,0,0,0,0,0
"55079035100","14000US55079035100","Census Tract 351, Milwaukee County, Wisconsin","Census Tract 351, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004910",,,,,"55","079",,,,"035100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2227,2215,2183,0,0,12,0,0,20,12,12,0,0,0,0,0,0
"55079035200","14000US55079035200","Census Tract 352, Milwaukee County, Wisconsin","Census Tract 352, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004911",,,,,"55","079",,,,"035200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4470,4299,3778,288,0,133,0,0,100,171,126,0,7,0,0,30,8
"55079040100","14000US55079040100","Census Tract 401, Milwaukee County, Wisconsin","Census Tract 401, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004912",,,,,"55","079",,,,"040100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1513,1288,33,9,125,0,12,46,62,32,7,0,0,0,6,17
"55079050101","14000US55079050101","Census Tract 501.01, Milwaukee County, Wisconsin","Census Tract 501.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004913",,,,,"55","079",,,,"050101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6071,5701,3722,1493,0,294,0,16,176,370,111,0,0,0,0,0,259
"55079050102","14000US55079050102","Census Tract 501.02, Milwaukee County, Wisconsin","Census Tract 501.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004914",,,,,"55","079",,,,"050102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5955,5787,3207,2132,44,160,0,0,244,168,62,0,0,0,0,106,0
"55079060101","14000US55079060101","Census Tract 601.01, Milwaukee County, Wisconsin","Census Tract 601.01, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004915",,,,,"55","079",,,,"060101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3696,3632,3075,274,0,198,1,0,84,64,56,0,4,0,0,0,4
"55079060102","14000US55079060102","Census Tract 601.02, Milwaukee County, Wisconsin","Census Tract 601.02, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004916",,,,,"55","079",,,,"060102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328,3070,2590,443,0,14,0,8,15,258,65,0,0,0,0,0,193
