Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"55079008800","14000US55079008800","Census Tract 88, Milwaukee County, Wisconsin","Census Tract 88, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004808",,,,,"55","079",,,,"008800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18059
"55079008900","14000US55079008900","Census Tract 89, Milwaukee County, Wisconsin","Census Tract 89, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004809",,,,,"55","079",,,,"008900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628
"55079009000","14000US55079009000","Census Tract 90, Milwaukee County, Wisconsin","Census Tract 90, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004810",,,,,"55","079",,,,"009000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22263
"55079009100","14000US55079009100","Census Tract 91, Milwaukee County, Wisconsin","Census Tract 91, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004811",,,,,"55","079",,,,"009100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28899
"55079009200","14000US55079009200","Census Tract 92, Milwaukee County, Wisconsin","Census Tract 92, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004812",,,,,"55","079",,,,"009200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45871
"55079009300","14000US55079009300","Census Tract 93, Milwaukee County, Wisconsin","Census Tract 93, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004813",,,,,"55","079",,,,"009300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53846
"55079009400","14000US55079009400","Census Tract 94, Milwaukee County, Wisconsin","Census Tract 94, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004814",,,,,"55","079",,,,"009400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58693
"55079009500","14000US55079009500","Census Tract 95, Milwaukee County, Wisconsin","Census Tract 95, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004815",,,,,"55","079",,,,"009500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71339
"55079009600","14000US55079009600","Census Tract 96, Milwaukee County, Wisconsin","Census Tract 96, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004816",,,,,"55","079",,,,"009600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25213
"55079009700","14000US55079009700","Census Tract 97, Milwaukee County, Wisconsin","Census Tract 97, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004817",,,,,"55","079",,,,"009700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26406
"55079009800","14000US55079009800","Census Tract 98, Milwaukee County, Wisconsin","Census Tract 98, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004818",,,,,"55","079",,,,"009800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20700
"55079009900","14000US55079009900","Census Tract 99, Milwaukee County, Wisconsin","Census Tract 99, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004819",,,,,"55","079",,,,"009900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21620
"55079010600","14000US55079010600","Census Tract 106, Milwaukee County, Wisconsin","Census Tract 106, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004820",,,,,"55","079",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21941
"55079010700","14000US55079010700","Census Tract 107, Milwaukee County, Wisconsin","Census Tract 107, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004821",,,,,"55","079",,,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49474
"55079010800","14000US55079010800","Census Tract 108, Milwaukee County, Wisconsin","Census Tract 108, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004822",,,,,"55","079",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38199
"55079011000","14000US55079011000","Census Tract 110, Milwaukee County, Wisconsin","Census Tract 110, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004823",,,,,"55","079",,,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30206
"55079011100","14000US55079011100","Census Tract 111, Milwaukee County, Wisconsin","Census Tract 111, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004824",,,,,"55","079",,,,"011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42500
